Symptoms_comment,Causes_and_Disease,Fetched_recommendation
"These past few days, Fever, Sore Throat have been bothering me.","The symptoms suggest Viral Infection, and the patient may be experiencing Tonsillitis.","Disease: CHRONIC TONSILLITIS
Treatment: treatment
 Cap. amoxicillin 500mgTDS/ tab. azithromycin 500mgOD for 5-7 days
 Tab. paracetamol 500mg TDS for 5 days
 Bed rest
 Surgery–tonsillectomy for recurrent episodes of tonsillitis"
"I've been experiencing Fatigue, Weakness, and it's starting to affect my daily activities.","These signs are commonly associated with Chronic Fatigue Syndrome, a condition that may result in Chronic Fatigue Syndrome.","Disease: CHRONIC KIDNEY DISEASE
Treatment: treatment
 Decrease protein intake to 0.6/kg/day
 Moderates sodium restriction to 60mmol/day
 Phosphate restriction to 1000mg/day
 Obesity: Aim for ideal body mass index of <25
 Cessation of smoking
Pharmacological treatment
Step –1Look for clues with respect to etiology:
 History of hypertension or diabetes mellitus.
 Symptoms related to lower urinary tract, recent infections.
 Features of connective tissue disease.
108
Genitourinary Diseases
 Past medical record suggestive of proteinuria.
 Pregnancy related problems.
 Past renal evaluation
 Family history of hereditary kidney disease like ADPKD / Alports syndrome.
Step –2Reversible factors in CKD
 Obstructive nephropathy, urinary tract infections, extra renal infections
 Nephrotoxic drugs,hypovolemia
 Congestive cardiac failure,pericardial temponade
 Hypokalemia / Hyperuricemia
Step -3
 In patients with proteinuria > 1g/day, BP target is <125/75mmHg
 If proteinuria <1g/day, BP target is <135/85 mmHg
 Tab. frusemide40-160 mg/ day or Tab. amlodipine 5-20 mg/day
 In diabetic nephropathy- Tab. enalapril 1.25-5 mg/day
 If hyperlipidemia –Tab. atorvastatin 10-20 mg/day
 If anemic. Inj. EPO 80-120unit/kg/week SC
Step –4Prevent and treat complications
Malnutrition
 Dietary protein intake of 0.6g/kg body weight/day
 Dietary calorie intake of 30-35 kcal/kg/day
Cardiovascular disease
 Commonest cause of mortality in CKD patients.Risk for IHD increases by 30% for every
increase in serum creatinine by 0.23mg/dl.
 At least yearly screening for cardiovascular disease should be done.
Renal osteodystrophy
 Target calcium – 8.8 to 9.7mg/dl, Phosphorous – 3.5 to 5.5 mg/dl, Calcium –
Phosphorous product < 55 mg2/dl.
 This is achieved by phosphate restricted diet. Tab. calcium carbonate 1 g/day and Tab.
vitamin D -0.25-2 mcg/day
3
Step –5Prepare for renal replacement therapy
 Early"
"I started feeling Anxiety, Palpitations, and it doesn't seem to be improving.","This presentation aligns with Stress, often seen in cases of Anxiety Disorder.","Disease: PANIC DISORDER
Treatment: treatment
Main approaches used are cognitive and behavioral therapies which aim at providing psycho
education and correcting cognitive distortions. It also includes educating the patient about
relaxation techniques and respiratorytraining.
 Family therapy includes providing psycho education and support
 Insight orientated psychotherapy is focused on helping patients to understand unconscious
meaning of anxiety and resolution of conflicts.
Pharmacological treatment
 SSRIs particularly paroxetine are effective in treating panic disorders. Other SSRIs like
escitalopram, citalopram, fluvoxamine and sertraline are also useful.
 Alprazolam is the most widely used benzodiazepine (start with 0.25 mg/day 1 HS upto
maximum of 6 mg/day). Theyare used for providing rapid symptomatic relief.
 Inj. lorazepam 2mg/ml and diazepam 5ml/ml can be used in patients presenting with
acute anxiety.
 Tri cyclic anti depressants like amitriptyline are also useful
Patient education
 General reassurance about benign nature of symptoms and possibility of spontaneous
recovery of individual
 Continuing with breathing exercises."
"These past few days, Chest Pain, Shortness of breath have been bothering me.","This presentation aligns with Physical Exertion, often seen in cases of Muscle Overuse.","Disease: BRONCHIAL ASTHMA
Treatment: treatment.
Salient features
 Precipitating allergens are dust, pollen, fish, nuts, strawberries, cold air, tobacco smoke,
viral and bacterial infections, exercise, emotional stress and drugs like NSAIDs, aspirin,
beta-blocker
 Classical symptoms include cough, breathlessness, chest tightness and wheezing. Signs
include tachypnoea, tachycardia, pulsus paradoxus, use of accessory muscles, silent chest
Diagnosis
 When asthma is suspected and other disorders have been ruled out (e.g. tumours in adults,
foreign body in children; don’t assume the presence of wheeze means asthma), confirm
the diagnosis with pulmonary function tests (PFTs).
 PFTs suffice as objective evidence of variable airflow obstruction:
A 12 % or greater improvement in forced expiratory volume (FEV1) in children and
adults, and > 200 ml in adults from the baseline 15 minutes after use of an inhaled
-
short-acting beta2 agonist.
Serial measures of peak expiratory flow (PEF): A > 20% change after administration
of a bronchodilator.
-
 When there is some probability of asthma and the above tests are non-diagnostic, the
following tests may be used to help diagnosis of asthma:
Methacholine challenge
Exercise challenge
-
Inhaled corticosteroid trial: appropriate doses of inhaled steroids for 4-6 weeks
-
Raised value of absolute eosinophil count (>6-8%)
-
Non pharmacological treatment
-
 Evaluate and assess impact and exposure to allergens and irritants in individual patients.
 Complete cessation of smoking and avoidance of environmental tobacco smoke is
strongly recommended.
 Lifestyle management-"
"I've been experiencing Joint Pain, Swelling, and it's starting to affect my daily activities.","This presentation aligns with Rheumatoid Arthritis, often seen in cases of Arthritis.","Disease: ACUTE SEPTIC ARTHRITIS
Treatment: treatment
 Keep the joint in position of comfort.
 Aspiration of the joint for gram staining, culture and sensitivity.
 If aspirate is purulent, drainage of the joint on an emergency basis.
 Drain the joint even if the joint aspiration is doubtful in the presence of a strong clinical
suspicion, because the risks of negative arthrotomy are far too less than not draining an
infected joint having pus. The latter situation may be disastrous for the joint resulting in
lifelong permanent disability to the patient.
 After drainage splint the joint with a POP slab or skin traction to relieve pain and prevent
contractures till the patient is a febrile, pain free and the joint is clinically quiescent.
Intermittent mobilization is permitted to preserve the range of movement of the joint.
Pharmacological treatment
The choice of antibiotics, duration of therapy and monitoring of the therapy are same as
mentioned in the section on acute pyogenic osteomyelitis.
References
1. Osteomyelitis and Septic Arthritis. In: Nelson's Textbook of Paediatrics. Berhman, Kliegman, Jenson et al
(eds), 17th Edition, 2004, W.B. Saunder Company, Philadelphia, pp 2297-2302.
2. Bone and Joint Sepsis. In: Lovell and Winter's Paediatric Orthopaedics. Morissy RT, Weinstein SL, Vol. 4,
1996, Lippincott Raven, Philadelphia.
316
Chapter 16"
"I've been experiencing Nausea, Dizziness, and it's starting to affect my daily activities.","Clinically, this pattern points toward Motion Sickness, indicating a probable diagnosis of Motion Sickness.","Disease: VERTIGO
Treatment: treatment
These medications should be reserved for short-term control of active vertigo. They are less
helpful for chronic dizziness and may hinder central compensation.
 Antihistamines like Tab. meclizine (25–50 mg 3 times daily), Tab. dimenhydrinate (50
mg 1–2 times daily) and Tab. promethazine (25 mg 2–3 times daily, also can be given
rectally and IM)
 Benzodiazepines like Tab. diazepam (2.5 mg 1–3 times daily) and Tab. clonazepam (0.25
mg 1 –3 times daily.
 Anticholinergic agents like scopolamine transdermal patch (for motion sickness only)
 Physical therapylike repositioningmanoeuvres (for BPPV)
 Diuretics and/or low-sodium (1 g/d) diet (for Ménière's disease)
 Antimigrainous drugs (for vestibular migraine)
 Selective serotonin reuptake inhibitors (for psychosomatic vertigo)
Benign Paroxysmal Positional Vertigo (BPPV)
 A common cause of recurrent vertigo
 Episodes are brief (less than 1 min and typically 15–20 s)
 Always provoked by changes in head position relative to gravity, such as lying down,
rolling over in bed, rising from a supine position, and extending the head to look upward.
 With posterior canal BPPV, the nystagmus beats upward and torsionally
 Horizontal canal BPPV resulting in a horizontal nystagmus
 Superior (also called anterior) canal involvement is rare.
 BPPV is treated with repositioning maneuvers that utilize gravity to remove the otoconia
from the semicircular canal.
 For posterior canal BPPV, the Epley maneuver is the most commonly used procedure.
Vestibular Migraine
 Usually part of migraine aura but can occur independently. The duration of vertigo may
be from minutes to hours. Vestibular migraine typically is treated with medications that
are used for prophylaxis of migraine headaches.
 Antiemetics may be helpful to relieve symptoms at the time of an attack.(See vomiting
section)
Ménière's Disease
 Attack consists of vertigo, hearing loss, & pain, pressure or fullness in affected ear.
 Diuretics and sodium restriction are the initial treatments.
 If attacks persist, injections of gentamicin into the middle ear or full ablative procedures
are required.
 Tab. betahistine 24-48 mg/day relieves pressure from excess fluid. Initial dose 16 mg
TDS initially with maintenance.
105
Central Nervous System Diseases
Psychosomatic Dizziness/vertigo
 Important role in chronic dizziness
 Dizziness may be a somatic manifestation of a psychiatric condition such as major
depression, anxiety, or panic disorder.
 Thus, treatment with antianxiety medications and cognitive/behavioral therapy may be
helpful.
106
Chapter 6"
"I've been experiencing Fatigue, Weakness, and it's starting to affect my daily activities.","Clinically, this pattern points toward Chronic Fatigue Syndrome, indicating a probable diagnosis of Chronic Fatigue Syndrome.","Disease: CHRONIC KIDNEY DISEASE
Treatment: treatment
 Decrease protein intake to 0.6/kg/day
 Moderates sodium restriction to 60mmol/day
 Phosphate restriction to 1000mg/day
 Obesity: Aim for ideal body mass index of <25
 Cessation of smoking
Pharmacological treatment
Step –1Look for clues with respect to etiology:
 History of hypertension or diabetes mellitus.
 Symptoms related to lower urinary tract, recent infections.
 Features of connective tissue disease.
108
Genitourinary Diseases
 Past medical record suggestive of proteinuria.
 Pregnancy related problems.
 Past renal evaluation
 Family history of hereditary kidney disease like ADPKD / Alports syndrome.
Step –2Reversible factors in CKD
 Obstructive nephropathy, urinary tract infections, extra renal infections
 Nephrotoxic drugs,hypovolemia
 Congestive cardiac failure,pericardial temponade
 Hypokalemia / Hyperuricemia
Step -3
 In patients with proteinuria > 1g/day, BP target is <125/75mmHg
 If proteinuria <1g/day, BP target is <135/85 mmHg
 Tab. frusemide40-160 mg/ day or Tab. amlodipine 5-20 mg/day
 In diabetic nephropathy- Tab. enalapril 1.25-5 mg/day
 If hyperlipidemia –Tab. atorvastatin 10-20 mg/day
 If anemic. Inj. EPO 80-120unit/kg/week SC
Step –4Prevent and treat complications
Malnutrition
 Dietary protein intake of 0.6g/kg body weight/day
 Dietary calorie intake of 30-35 kcal/kg/day
Cardiovascular disease
 Commonest cause of mortality in CKD patients.Risk for IHD increases by 30% for every
increase in serum creatinine by 0.23mg/dl.
 At least yearly screening for cardiovascular disease should be done.
Renal osteodystrophy
 Target calcium – 8.8 to 9.7mg/dl, Phosphorous – 3.5 to 5.5 mg/dl, Calcium –
Phosphorous product < 55 mg2/dl.
 This is achieved by phosphate restricted diet. Tab. calcium carbonate 1 g/day and Tab.
vitamin D -0.25-2 mcg/day
3
Step –5Prepare for renal replacement therapy
 Early"
"I started feeling Fever, Chills, and it doesn't seem to be improving.","Clinically, this pattern points toward Infection, indicating a probable diagnosis of Pneumonia.","Disease: FEVER
Treatment: Treatment
Routine use of antipyretics in low-grade fever is not justified. This may mask important clinical
indications. However, in acute febrile illnesses suggestive of viral or bacterial cause, fever
should be treated.
Non pharmacological treatment
Hydrotherapy and rest
Pharmacological treatment
Non-specific
 Tab. paracetamol 500-1000 mg 6-8 hourly. Or Tab. ibuprofen 400-600 mg 8 hourly.
Specific
 Antibiotics/antimalarials depending upon the cause suggested by clinical and laboratory
evaluation.
Outcome
In most cases of fever, patient may either recover spontaneously or a diagnosis is reached after
repeated clinical evaluation and investigations. If no diagnosis is reached in up to 3 weeks,
patient is said to be having fever of unknown origin (FUO) and should be managed accordingly.
Patient education
 Self medication should be avoided.
 Antibiotics should be taken only on advice of a physician.
 Avoid covering the patient having high fever with blanket etc.
 Plenty of fluids should be taken. Stay in cool environment. Cold sponging of face and limbs
should bedone repeatedly.
11
Common Conditions
References
1. Alterations in Body Temperature. In: Harrison's Principles of Internal Medicine. Kasper DL, Braunwald E,
Fauci AS et al (eds), 16th Edition, 2005, McGraw Hill Company Inc., New York, pp 104-25.
2. Physiological Changes in Infected Patients. In: Oxford Textbook of Medicine. Warrell DA, Cox TM, Firth
JD, Benz EJ Jr (eds), 4th Edition, 2003. Oxford University Press, 1289-92."
"I am dealing with Cough, Shortness of breat recently, and It's worrying me a bit.","Based on the symptoms, the likely cause is h COVID-19 Exposure, which typically leads to COVID-19.","Disease: ACUTE DIARRHOEA
Treatment: treatment
Blood urea, All 3 investigations in moderate to severe dehydration, SE in
S. electrolytes (SE) and persistent vomiting or signs of dyselectrolytaemia, ABG in
arterial blood gas (ABG) respiratory distress and no chest signs and sepsis (correct it
only if pH <7.25).
Infection screening by Fever persisting >72 hours, PEM > grade III or age <3
TLC, DLC, band cell count, months.
ESR and CRP
Blood culture Suspected sepsis, Before starting antibiotics.
Chest X-ray, CSF and others As and when required
Stool culture No role
Non-pharmacological treatment
 Maintain hydration by home available fluids (HAF) in place of or along with ORS. These
are rice, kanji, butter milk, dal soup, coconut water or weak tea etc. Soft drinks,
sweetened fruit drinks and tea are unsuitable and could be potentially dangerous.
386
Pediatric Conditions
 Maintain nutrition: continue breast feeding. Continue normal light diet e.g. khichri, dalia,
banana or mashed dal etc. Do not dilute or stop milk as there is not much role of lactose
intolerance or milk protein allergy. Give extra food during recovery.
Pharmacological treatment
 Low osmolarity oral rehydration solution (ORS) is used in some dehydration 75 ml/kg in
4 hours under observation.
 After 4 hours if dehydration is corrected, or if child was not dehydrated at presentation,
send home with instructions to give ORS in 2:1 dilution as accepted by the child. Asked
to report back if vomiting persists or urine is not passed for >8 hours. As a rough
guideline 10 ml/kg of ORS may be added for each large stool.
 If dehydration is not corrected after 4 hours, same amount of ORS may be repeated in
next 4 hours and if dehydration is corrected, send the patient home. If dehydration does
not improve in 8 hours or if it worsens, abandon oral rehydration therapy (ORT) and give
IV fluids.
 Zinc ORS is not superior to supplementation of zinc separately, in malnourished children
with diarrhoea.
 Principles of Oral Rehydration Therapy (ORT)
- Give in small sips.
- Vomiting is not a contraindication unless persistent.
- Contraindicated in altered sensorium or paralytic ileus.
- Stop as soon as diarrhoea stops.
 IV fluid therapy in case of severe dehydration or shock or contraindications or
failure of ORT. N/2 saline is given over 8 hours (1:100 ml KG after child passes
urine), as follows:
- Some dehydration-75 ml/kg.
- Severe dehydration-100 ml/kg (half in first 2-3 hours)
- Shock- push 20 ml/kg of Ringer's lactate or normal saline over 15 minutes and can repeat
twice more if shock persists use central venous pressure monitoring for further
management if shock present after pushing 60 ml/kg.
 Specific therapyis indicated -Frank blood and mucus in the stool or >10 pus cells/HPF
- Syr. ciprofloxacin 15-20 mg/kg/day in 2 divided doses (Shigella strains are largely
resistant to ampicillin and cotrimoxazole) for 5 days
Giardiasis (only if trophozoites are seen on stool microscopy)
- Syr. metronidazole 15 mg/kg/day in 3 divided doses for 5 days Or
- Syr. tinidazole 50 mg/kg/day single dose (max. 2 g)
Cholera (suspect in any child with severe watery diarrhoea)
Mainstay of treatment is fluid therapy and following antibiotic may be used to prevent
spread: Syr. doxycycline 5 mg/kg (max 200 mg) in single dose. Or Syr. furazolidone 5
mg/kg/day in 4 divided doses for 3 days. Or Syr. cotrimoxazole (TMP) 8 mg/kg/day in 2
divided doses for 5 days. Or Syr. erythromycin 30 mg/kg/day for 3 days.
387
Pediatric Conditions
 Severe infections to be treated by appropriate parenteral antibiotics.
 There is not much role of antiemetics in a child with vomiting. Rule out meningitis, URI
and dyselectrolytaemia and give ORS in sips. If vomiting persists give intravenous fluids.
However, occasionally 1 or 2 doses of metoclopramide (0.5 mg/kg) or domperidone (0.5
mg/kg) may be tried before giving intravenous fluids. Binding agents e.g., Kaolin pectin
etc. are not useful.
 Following drugs are contraindicated,
- Antimotility agents e.g. diphenoxylate, atropine etc. and antisecretory agents e.g.,
loperamide, salicylates etc.
 Keep record of vitals e.g. pulse, BP, capillary filling time (CFT), respiratory rate (1
hourly) and temperature (6 hourly). Monitor for improvement or worsening of signs of
dehydration. Record urine output and stool frequency and consistency.
 Modifications or step up treatment
- Admit if PEM grade III or age <3 months (as higher chances of complications e.g. shock,
hypoglycaemia etc.), associated severe systemic infections e.g. septicaemia, meningitis or
pneumonia.
- Investigate for lactose intolerance, incipient infections e.g., Urinary tract infection (UTI)
or rare gut organisms, if diarrhoea persists for >7 days.
- Exclude parenchymal renal failure, if child has not passed urine after hydration. Give a
fluid challenge (20 ml/kg of normal saline) followed by frusemide injection (1-2 mg/kg).
If urine is still not passed then parenchymal renal failure considered and managed
accordingly.
Patient education
 Inform natural course of diarrhoea to avoid dissatisfaction and ORS only prevents
dehydration i.e. purge rate and consistency usually improves by 3-7 days
 Explain the complications in diarrhoea are because of dehydration and thus ORS is the
mainstay of therapy. Explain preparation of ORS and method of administration.
Nutritional advice as mentioned earlier in non-pharmacological section. Education about
food and water hygiene."
"These past few days, Fatigue, Weakness have been bothering me.","These signs are commonly associated with Chronic FatigueSyndrome, a condition that may result in Chronic Fatigue Syndrome.","Disease: FACIAL PALSY
Treatment: treatment
 Use of paper tape to depress the upper eyelid during sleep and prevent corneal drying.
 Massage of the weakened muscles.
 Splinting of lower part of face to prevent drooping.
 Facial retraining (mime therapy)
Pharmacological treatment
 Tab. prednisone 60-80 mg daily during the first 5 days and then tapered over the next 5
days modestly shortens the recovery period and improves the functional outcome.
 Tab. acyclovir 400 mg five times daily for 10 days in combination with prednisone.
PARKINSON'S DISEASE
Parkinson's disease (PD) is the second commonest neurodegenerative disease.
Salient features
 Cardinal features include bradykinesia, rest tremor, rigidity, gait disturbance and
postural instability. Other motor features include micrographia, masked facies, reduced
eye blink, soft voice (hypophonia) and dysphagia.
 Non motor features include anosmia, sensory disturbances (e.g., pain), mood disorders
(e.g., depression), sleep disturbances, autonomic disturbances, orthostatic hypotension,
gastrointestinal disturbances, genitourinal disturbances, sexual dysfunction and
cognitive impairment/dementia.
Pharmacological treatment
 Levodopa
- Tab. carbidopa/levodopa (1:4) 10/100mg-25/200mg 4-6 times a day
95
Central Nervous System Diseases
- Adverse effects: Acute side effects include nausea, vomiting, and orthostatic
hypotension.
- Motor complications like wearing-off effect, dyskinesia, on-off phenomenon develop
with long-term therapy.
 Dopamine Agonists-Tab. pramipexole 0.25–1.0 mg TDS, Tab. ropinirole 6–24 mg/d
 Adverse effect: Acute side effects include nausea, vomiting, and orthostatic hypotension,
hallucination.
 MAO-B Inhibitors-Tab. selegiline 5 mg BD
 COMT Inhibitors- Tab. entacapone 200 mg with each levodopa dose or Tab. tolcapone
100–200 mg TDS
 Adverse effects: Primarily dopaminergic (nausea, vomiting, increased dyskinesia). Cases
of fatal hepatic toxicity have been reported with tolcapone.
 Central-acting anticholinergic agents-Tab.trihexyphenidyl 2 mg TDS
 NMDA-receptor antagonist -Tab. amantadine 100-300 mg/day."
"These past few days, Sore Throat, Cough have been bothering me.","Based on the symptoms, the likely cause is Bacterial Infection , which typically leads to Strep Throat     .","Disease: POST-OPERATIVE CARE
Treatment: treatment
Bowel obstruction (mechanical or paralytic ileus) should be ruled out as a cause of vomiting
by proper examination and investigations. Nausea and vomiting are managed with bed rest,
intravenous fluids, analgesics to relieve postoperative pain,nasogastricdecompression
Pharmacological treatment
 Inj. metoclopramide (5mg/ml)10 mg IM/IV TDS or SOS. Or
 Inj.ondansetron (2mg/ml) 4 mg slow IV or IM OD
III.POSTOPERATIVE PNEUMONIA
 Pulmonary disorders remain the most frequent postoperative problem and 10- 15% of
patients are considered to have clinically significant chest complication after surgery
under general anaesthesia.
 Factors predisposing to increased chest complications are smoking, obesity, chronic
restrictive and obstructive lung disease, prolonged general anaesthesia and presence of
nasogastric tube. Postoperative pneumonia is caused by pathogens such as Pseudomonas,
Serratia,Klebsiella, Proteus andStreptococcus
Salient features
 Fever,productive cough, dyspnoea,chest pain.
 Bronchial breathingand presence of rales.
.
 Chest X-ray shows area of consolidation
Pharmacological treatment
 Antibiotics: Depending upon sputum culture and sensitivity. Initial treatment can be
started with aminoglycoside andcephalosporin.
 Inj.diclofenac75mg1M every6-8hours.
 Chest physiotherapy
 Nebulized bronchodilators maybe used ifbronchospasm is present.
Antibiotic prophylaxis in surgery
The goals ofprophylactic administrationof antibioticsto surgical patients are to:
 Reduce the incidence of surgical site infection;
320
Surgery
 Use antibiotics in a manner that is supported by evidence of effectiveness; minimize the
effect of antibiotics on the patient's normal bacterial flora; adverse effects.
Prophylaxis is uniformly recommended for all clean-contaminated, contaminated and
dirty procedures. It is considered optional for most clean procedures, although it may be
indicated for certain patients and clean procedures that fulfill specific risk criteria. It is
important to emphasize that surgical antibiotic prophylaxis is an adjunct to, not a
substitute for goodsurgical technique.
 Antibiotics prophylaxis should be regarded as one component of an effective policy for
the control of hospital acquired infection in procedure that requires the insertion of
implants or prosthetic devices, the term. Surgical site infection is used to encompass the
surgical wound and the implant. Surgical site infection also encompasses infections
involving the body cavity (e.g. subphrenic abscess), bones, joints, meninges and other
tissues involved in the operation. Throughout this guideline the term surgical site
infection (SSl) is used, unless the evidence relates specifically to surgical wound
infection."
"I am dealing with Fatigue, Weakness recently, and It's worrying me a bit.","This presentation aligns with Anemia              , often seen in cases of Iron Deficiency .","Disease: IRON DEFICIENCY ANAEMIA
Treatment: treatment
 After period of exclusive breastfeeding (6 months), cereal based diet should be added.
Encourage green leafy vegetables and fruits.
 Treatment depends on hemoglobin levels and age of the patients
Pharmacological treatment-Oral Iron Therapy
 Oral ferrous salts (sulphate, gluconate etc) are the preferred therapeutic iron preparations.
 Therapeutic iron dose: 4 mg/kg/day of elemental iron in 2 – 3 divided doses to be given
between meals for 2 months after normal Hb concentration for age is achieved.
 In prematurity start iron syrup from 2nd week of life to 1 year.
 Response to therapy – decreased irritability and improved appetite is seen within 12 – 24
hours. Rise in Hb levels seen within 7 days at the rate of 0.25 –0.4 g/dl/day.
373
Pediatric Conditions
 If the response is inadequate, check for the prescribed dose, compliance, presence of
diarrhoea or malnutrition, infections or β thalas semia trait mistakenly diagnosed as iron
deficiency anaemia.
Parenteral Iron Therapy
 It is rarely required. However, when oral iron is not tolerated, severe ADRs to oral iron or
presence of malabsorption syndromes, parenteral iron therapy may be used.
 Total dose of iron is: Iron(mg) = wt(kg) x Hb deficit (g/dl) x 4
 Injection iron dextran or iron sorbitol citrate (50 mg/ml) deep gluteal IM injection is
preferred.
Blood Transfusion
 When Hb is less than 3g% or Hb 4-6 g% in cardiac compromised patient
 PCV 15 ml/kg at rate of 4-5 ml/kg/hour
Patient/ parent education
 Iron deficiency anaemia occurs generally due to dietary deficiency of iron. Once the diet is
modified, the patient should stick to that diet.
 Iron should be taken between meals and never with tea or milk
 Intake of iron usually causes harmless black discolouration of teeth and stools. The teeth
discolouration can be prevented by rinsing the mouth with water after doses."
"I started feeling Anxiety, Rapid Heartbeat, and it doesn't seem to be improving.","The symptoms suggest Stress              , and the patient may be experiencing Panic Disorder  .","Disease: PANIC DISORDER
Treatment: treatment
Main approaches used are cognitive and behavioral therapies which aim at providing psycho
education and correcting cognitive distortions. It also includes educating the patient about
relaxation techniques and respiratorytraining.
 Family therapy includes providing psycho education and support
 Insight orientated psychotherapy is focused on helping patients to understand unconscious
meaning of anxiety and resolution of conflicts.
Pharmacological treatment
 SSRIs particularly paroxetine are effective in treating panic disorders. Other SSRIs like
escitalopram, citalopram, fluvoxamine and sertraline are also useful.
 Alprazolam is the most widely used benzodiazepine (start with 0.25 mg/day 1 HS upto
maximum of 6 mg/day). Theyare used for providing rapid symptomatic relief.
 Inj. lorazepam 2mg/ml and diazepam 5ml/ml can be used in patients presenting with
acute anxiety.
 Tri cyclic anti depressants like amitriptyline are also useful
Patient education
 General reassurance about benign nature of symptoms and possibility of spontaneous
recovery of individual
 Continuing with breathing exercises."
"I started feeling Shortness of breath, and it doesn't seem to be improving.","Clinically, this pattern points toward Obesity             , indicating a probable diagnosis of Sleep Apnea     .","Disease: BRONCHIAL ASTHMA
Treatment: treatment.
Salient features
 Precipitating allergens are dust, pollen, fish, nuts, strawberries, cold air, tobacco smoke,
viral and bacterial infections, exercise, emotional stress and drugs like NSAIDs, aspirin,
beta-blocker
 Classical symptoms include cough, breathlessness, chest tightness and wheezing. Signs
include tachypnoea, tachycardia, pulsus paradoxus, use of accessory muscles, silent chest
Diagnosis
 When asthma is suspected and other disorders have been ruled out (e.g. tumours in adults,
foreign body in children; don’t assume the presence of wheeze means asthma), confirm
the diagnosis with pulmonary function tests (PFTs).
 PFTs suffice as objective evidence of variable airflow obstruction:
A 12 % or greater improvement in forced expiratory volume (FEV1) in children and
adults, and > 200 ml in adults from the baseline 15 minutes after use of an inhaled
-
short-acting beta2 agonist.
Serial measures of peak expiratory flow (PEF): A > 20% change after administration
of a bronchodilator.
-
 When there is some probability of asthma and the above tests are non-diagnostic, the
following tests may be used to help diagnosis of asthma:
Methacholine challenge
Exercise challenge
-
Inhaled corticosteroid trial: appropriate doses of inhaled steroids for 4-6 weeks
-
Raised value of absolute eosinophil count (>6-8%)
-
Non pharmacological treatment
-
 Evaluate and assess impact and exposure to allergens and irritants in individual patients.
 Complete cessation of smoking and avoidance of environmental tobacco smoke is
strongly recommended.
 Lifestyle management-"
