disease,treatment
SUTURING OF PRIMARY WOUND,"treatment
 Inj. tetanus toxoid 0.5 ml IM stat
327
Surgery
 Inj. diclofenac sodium 3 ml (75mg) IM stat
 Tab. ampicillin 500 mg three times day for 3-5 days
 Tab. diclofenac 50 mg twice day for 3-5 days
 Tab. multivitamins/Iron if patient is deficient of any for better healing
 Control of Diabetes mellitus, if present
 Management of local wound: if wound is recent(<6 hrs) cleaning followed by suturing is
done. If duration of injury is >6 hrs, and contamination is present, wound is debrided and
wound is closed by secondary suturing at a later date when wound is clean.
 For primary suturing: Thorough cleaning of wound by saline/Hydrogen Peroxide/Betadine.
 Removal of any foreign material and control of active bleeding.
Choice of suturematerial
The size of suture material is measured by its width or diameter and is vital to proper wound
closure.
 1-0 and 2-0: Used for high stress areas requiring strong retention, i.e. -deep fascia repair
 3-0: Used in areas requiring good retention, i.e. -scalp, torso, and hands
 4-0: Used in areas requiring minimal retention, i.e. extremities. Is the most common size
utilized for superficial wound closure.
 5-0: Used for areas involving the face, nose, ears, eyebrows, and eyelids.
 6-0: Used on areas requiring little or no retention. Primarily used for cosmetic effects
Suture Techniques: Wound layers should be placed in close approximation. Minimal amount of
tension across the suture line should be kept. Wound edges should be slightly everted. Equal
bites, horizontally and vertically are important for wound position and healing. Debride
devitalized tissue. Alternate day dressing with antiseptic solution till suture removal
Suture removal
 Duration will vary according to the location and depth of the wound. However, the average
time frame is 7-10 days after application. The following general rules can be sued in deciding
when to remove sutures:
 Face: 4-5 days.
 Body & scalp: 7 days.
 Soles, palms, back or over joints: 10 days
 Any suture with pus or signs of infections should be removed immediately. Once MO
determines that the sutures should be removed, a suture removal kit, consisting of scissors
and a pair of tooth forceps is utilized to remove the sutures.
 Using the tooth forceps, grasp the knot and snip the suture below the knot with the scissors as
close as possible to the skin. Pull the suture line through the tissue and place on a 4x4. Once
all sutures have been removed count the sutures. The number of sutures needs to match the
328
Surgery
number indicated in the patient's health record."
ACUTE APPENDICITIS,"treatment
 In early catarrhal appendicitis, with minimally inflamed appendix patient can be given
medical and conservative management which includes-
- Tab. ciprofloxacin 500mg BD and Tab. metronidazole 400 mg TDS or a second generation
cephalosporin cefotaxim 1 gm BD
 Inj.diclofenac 75 mg IM
 Tab.ranitidine 150 mg BDor Cap. omeprazole 40 mg BD
Surgical treatment Appendicectomy by open or laproscopic approch"
HERNIA,"treatment
 Treatment of predisposing factors if present any
 Treatment of chronic cough according to cause
 Treatment of Chronic constipation
 Treatment of BPH if present, pharmacological as well surgical
Surgical treatment
 Herniotomy, for congenital hernias
 Hernioplasty for open gold standard for any type of adult hernia at present. Lichtenstein
tension free hernioplasty
 By laparoscopic hernioplasty is preferred in small and bilateral hernia.
 TEP-Totally Extra peritoneal meshplasty
 TAPP-Trans Abdominal Preperitoneal meshplasty
II. INCISIONAL HERNIA
Incisional hernia is defined as hernia occurring through any previous surgical incision.
Predisposing factors are improper techniques of wound closure ,wound infection, wound
dehiscence, malnutrition, malignancy
Salient feature
 In history evaluate nature of primary surgery, Wound complications following primary
surgery, presence of malnutrition and associated comorbidities.
 Physical examination of scar and defect and swelling, reducible impulsile on coughing
Investigations
USG local part for defect, Preoperative investigations
Surgical Treatment
330
Surgery
 Underlay: preperitoneal mesh placement under the defect, preferred route
 Inlay: mesh placement thought the defect
 Onlay/Overlay: Mesh placement above the defect in muscular plane
 Laparoscopic mesh placement under the defect, preferred whenever possible"
HYDROCOELE,"treatment
Congenital hydrocele requires herniotomy while acquired hydrocele -jaboulay's procedure or
Lord's procedure"
CHOLELITHIASIS,"treatment
 Definitive treatment is cholecystectomy in symptomatic and asymptomatic patients
with diabetes or a solitary large stone or multiple small stones with wide cystic
duct or porcelain gall bladder or anxious patients. If the patient comes after 48 hours
manage conservatively and cholecystectomy after 6-8 weeks.
 In case of acute cholecystitis, empyema gall bladder, and stones in the CBD following
treatment is instituted.
Pharmacological treatment
 Maintenance IV fluids
 Inj. ciprofloxacin (infusion 100 mg/50 ml) 100 ml IV twice a day and Inj. gentamicin (40
mg/ml) 2 ml IV 8 hourly.
 In case anaerobic bacterial infection is suspected or anticipated, give Inj. metronidazole
(500 mg/l00 ml) 100 ml IV 8 hourly.
 Inj. diclofenac sodium (25 mg/ml) 2 -3 ml IM SOS or 6 hourly or Inj. pentazocine (30
mg/ml) 1ml IM SOS.
 Inj. hyoscine butylbromide (20 mg/ml) 1ml IV SOS.
 In patients having obstructive jaundice, add Inj. vitamin K (10 mg/ml) 1 ml IM once or
twice a day till prothrombin time reaches to asatisfactory level.
 Antibiotics are usually stopped after 5-7 days unless the patient has evidence of persistent
infection or has indwelling tube (e.g., T-tube).
Patient education
 To avoid fatty and fried meals for 3 months.
 Although ambulation is encouraged as early as possible, heavy physical exertion should be
avoided for 2 weeks (after laparoscopic cholecystectomy) and for 3 months after
conventional cholecystectomy.
 If T-tube has been placed, it should be removed after 2-3 weeks, after ensuring that the
CBD is patent, non dilated and there is free flow of contrast into the duodenum during T-
tube cholangiography.
332
Surgery"
HYDATID DISEASE OF LIVER,"treatment but mat contain viable protoscolices
 Group 3- Inactive group- degenerated, partially or totally calcified cysts, unlikely to contain
viable protoscolices
Investigations
 TC and DC show eosinophillia. ELISA can point toward diagnosis. Ultrasound and CT scan
are the investigations of choice. CT scan shown smooth space occupying lesion with several
septa
Pharmacological treatment
 Tab. albendazole 400 mg TDS for 28 days repeated for 3 cycles.
Surgical treatment
 PAIR-Puncture, Aspiration, Injection (of a scolicidal agent), Reaspiration
 Radical or partial pericystectomy
 Hepatic segmentectomy
 Scolicidal agents used for surgery: hypertonic saline 15%, cetrimide 3%"
OBSTRUCTIVE JAUNDICE,"treatment
Low fat, high carbohydrate diet
Pharmacological treatment
 IV fluids to maintain hydration and Correction of electrolyte imbalance
 Inj. vitamin k
 Fresh frozen plasma when indicated
 Prophylactic antibiotics, Inj. cefotaxime1 gm IV 8 hourly
Surgical treatment
 ERCP with sphincterotomy and stenting, followed by cholecystectomy
 For choledocholithiasis, cholecystectomy with CBD exploration
 For stones not amenable for retrieved by ERCP
 Whipple procedure (pancreaticoduodenectomy), for resectable periampullary mass
 Bypass procedures (hepaticojejunostomy with/without gastrojejunostomy) for unresectable
periampullary mass"
INTESTINAL OBSTRUCTION,"treatment
 Nasogastric decompression, correction of dehydration, correction of electrolytes imbalance
and broad spectrum antibiotics
Surgical treatment
 Exploratory laprotomy with adhesiolysis, resection of non viable intestine or extirpation of
obstructing lesion."
TYPHOID PERFORATION,"treatment
 Patient should be admitted to intensive care unit
 Vigorous resuscitation of fluids
335
Surgery
 Inj. ceftriaxone 2 gm loading dose followed by 1 gm IV 8 hourly
 Tab. metronidazol 400 mg IV 8 hourly
Surgical treatment
 Emergency exploratory laparotomy
 Commonest site of perforation is terminal ileum
 Having found a perforation, look for others
 In the very ill patient, look for some type of extoriorisation
 Close the peritoneum and leave the wound open for secondary healing"
SMALL BOWEL TUBERCULOSIS,"treatment
 Patient should ideally be treated under combined care of physician and surgeon. Vigorous
supportive and full drug treatment is mandatory in all cases. Symptomatic strictures are
treated by appropriate resections.
 Acute intestinal obstruction from distal illeal stricture is treated by thorough resuscitation
followed by side to side illeo-transverse bypass. Once the patient has recovered with medical
treatment, then the second stage definitive procedure of right hemicolectomy is done.
 One stage resection and anastomosis can be done if the patient’s general condition permits.
Perforation is treated by appropriate local resection and anastomosis or exteriorization if the
condition of the patient is very poor, that is later followed by restoration of bowel continuity
after patient is fully recovered of anti-tuberculous therapy.
336
Surgery"
ANAL FISSURE,"treatment
 Lignocaine jelly or ointment (5%) applied locally 3-4 times a day;
 Tab. metronidazole 400 mg for 5 days, twice a day.
 Tab ibuprofen 400 mg one tablet 8 hourly
 Sitz bath (warm water with povidone iodine) twice a day
 Isapghula husk 1-2 teaspoon in water one or two times a day for control of constipation and
straining during defecation Or
 Liquid paraffin (5-15 ml) at bed time for one month, if no relief with local lignocaine,
application
Surgical treatment
 Aim of therapy is to cause complete relaxation of the anal sphincter that will relieve pain and
slowly heal the fissure.
 Anal dilation under general anaesthesia.
 Fissurectomy and sphincterotomy if needed."
FISTULA IN ANO,"treatment
 Treatment of underlying cause, if any-surgical procedure for eradication of tract
 Fistulotomyand fistulectomy
 Mucosal advancement flap
 Seton placement – the following conditions - complex fistulas (i.e., high transsphincteric,
suprasphincteric, extrasphincteric) or multiple fistulas
 Recurrent fistulas after previous fistulotomy
 Anterior fistulas in female patients
 Poor preoperative sphincter pressures
 Patients with Crohn’s disease or patients who are immunosuppressed
Patient education
 Most patients can be treated in an ambulatory setting with discharge instructions and close"
HAEMORRHOIDS,"treatment
 High fiber diet
 Plenty of fluids
 Sitz bath-twice a day with lukewarm water
Pharmacological treatment
 Bulk forming laxative (esabgol husk),at bed time to relieve constipation.
 Local lignocaine 2% ointment if associated external haemorrhoids
Surgical measures
 Grade I-conservative management, injection sclerotherapy for bleeding hemmorrhoids.
 Grade II- conservative management and band ligation.
 Grade III/IV – hemorrhoidectomy."
DIABETIC FOOT,"Treatment
According to grade
 Grade 0: No specific treatment, take preventive measures to protect the limbs
 Grade 1: Prescribe special cushioned shoes to protect from pressure sore
 Grade 2: control of sugar, antibiotics according to culture reports, daily dressing and
debridement.
 Grade 3: Apart from the management described above , drainage of abscess or local
amputation
 Grade 4: Patients with forefoot gangrene require amputation
 Grade 5: Amputation and rehabilitation"
VARICOSE VEINS,"treatment
Reassurance, elastic compression stockings - 6” elastic compression stockings applied with
graduated pressure, foot end elevation
Pharmacological treatment
 Injection sclerotherapy
 Ultrasound guided foam sclerotherapy
Surgical treatment
 Saphenofemoral junction ligation and greater saphenous stripping with or without
incompetent perforator ligation
340
Surgery
 Saphenopopleteal junction ligation and lesser saphenous stripping with or without
incompetent perforator ligation
 Split thickness skin grafting for venous ulcers ,if present"
DEEP VENOUS THROMBOSIS,"treatment
 Start with low molecular weight heparin anticoagulated with warfarin.
 Warfarin started at a dose of 10 mg on day one,10mg on day 2, 5mg on day three
 Patient taken on day three guides maintenence dose of warfarin
 Venous thrombectomy in severe cases.
 Venacaval filters in recurrent and high risk cases.
Prophylaxis
Mechanical methods-graduated elastic compression stockings, external pneumatic compression
stockings.
Low molecular weight heparin"
CERVICAL LYMPHADENOPATHY,"treatment
 In case of acute suppurative lymphadenopathy secondary to any focus of bacterial
infectionin the drainagearea: Cap. cephalexin250-500 mg every 6 hours for 7 days or Cap.
amoxicillin250-500mgevery8hours for7days.
 If lymph nodes persist, perform fine needle aspiration cytology (FNAC) and treat
accordingly. If FNAC is non-conclusive take a biopsy from the enlarged lymph node and
treataccordingly.
 In case of chronic lymphadenopathyperform FNAC and treat accordingly. If FNAC is non-
conclusive,performbiopsy and treataccordingly.
Treatment of tubercular lymphhadenopathy
 Startanti-tuberculartherapy
 Reassess the patient after 6 months. If lymph nodes are either not present or lessthan 1cm
size, keep the patient under"
THYROID NODULE,"treatment of simple goiter
 Iodised salt
 In hyperplastic goiter, thyroxine 0.15-0.2mg daily for two months
 Multinodular goiter total or subtotal thyroidectomy. after subtotal resection, thyroxine is
given to suppress TSH secretion
Surgical treatment
 Total thyroidectomy = total lobectomy + isthmusectomy
 Subtotal thyroidectomy = subtotal lobectomy + isthmusectomy
 Near total thyroidectomy = total lobectomy + isthmusectomy + subtotal lobectomy
 Lobectomy = total lobectomy + isthmusectomy"
HYPERTHYROIDISM,"treatment
Rest and sedation
343
Surgery
Pharmacological treatment
 Tab. carbimazole 10 mg four times a day, when patient becomes euthyroid and maintenance
dose of 5 mg two or three times a day for 6-24 months
Surgical treatment
 Large toxic multinoduler goiter -total thyroidectomy
 Large diffuse toxic goiter - Promote elective surgery after a course of treatment with
antithyroid drugs and beta blocker. A subtotal thyroidectomy is performed.
 Toxic solitary nodular goitre /toxic adenoma/autonomous hot nodule-hemithyroidectomy
 Thyrotoxicosis in pregnancy- subtotal thyroidectomy in mid trimester
 Hashimoto’s disease/lymphedenoid goiter-total thyroidectomy or total lobectomy"
BENIGN BREAST DISEASES,"treatment
 Reassurance
 Adequate support
 Exclusion of caffeine in some patients
 Evening primrose oil 1000 mg TDS for 3 months
 If does not respond, Tab. danazol 100 mg OD, can be increased upto TDS after discussing
side effects of the drugs to the patient (hirtuism, contraception failure)
 For fibroadenoma, no treatment is required. Excision is done on patient’s will, suspicious
cytology or large (>5 cm ) lump"
BREAST ABSCESS,"treatment
Early in the infection, non-surgical measures should be applied
 Tab. amoxicillin (PO) : 1-2 gm/ d divided in 2-3 doses for 5 days or
 Cap. ampicillin (PO) : 2-4 gm/ d divided in 2-3 doses for 5 days
 Tab. ibuprofen 400 mg thrice daily.
Non pharmacological treatment
 Apply constricting bandage, stop breast-feeding from this side
 Expression of milk with a breast pump to avoid engorgement.
Surgical treatment
 For superficial abscess: radial incision.
 For abscess near nipple: peri-alveolar incision.
 For deep abscess: beneath the breast
 Gentle exploration with finger or Kelly forceps. Abundant lavage with chlorhexidine-
cetrimide solution. Insertion of a corrugated drain."
CARCINOMA BREAST,"treatment
 Modified radical mastectomy is removal of whole breast tissue with nipple areola complex,
skin overlying lump, pectoral fascia and axillary dissection.
 For Stage II B, Stage III A: Breast conservative surgery along with radiotherapy
 Lumpectomy/quadrentectomy/wide excision is indicated in solitary lump, tumor size < 4 cm,
not involving nipple areola complex
 DCIS for Stage I, Stage II A
345
Surgery
Pharmacological treatment
 Neo adjuvant chemotherapy: Adjuvant chemotherapy given before surgery for down staging
of locally advanced breast cancer, Stage III B
 Adjuvant chemotherapy: Post operative chemotherapy for
- all node positive cancers
- node negative cancer, > 1 cm in size
- node negative cancer, > 0.5 cm with adverse prognostic factors
- (lymphovascular invasion, high nuclear grade, high histological grade, HER 2/neu over
expression, negative hormone receptor status)
 Commonly used regimen for chemotherapy are-
- CMF regimen: cyclophosphamide, methotrexate, 5-fluorouracil- 6 cycle, every 21 days
- CAF regimen: cyclophosphamide, adriamycin, 5- Fluorouracil 6 cycle, every 21 days
- Cyclophosphamide: 600 mg/ sqm body area IV
- 5 Fluorouracil: 600 mg/sqm body area IV
- Methotrexate: 40 mg/sqm body area IV
- Adriamycin: 50 mg/sqm body area IV
Hormonal regimen
Tab. tamoxifen 20 mg orally daily, 5 years given to ER/PR positive patients."
RENAL STONES,"treatment
 Inj. diclofenac sodium 3 ml IM stat
 Inj. dicyclomine 2 ml IM stat
 Tab. ciprofloxacin 500 mg BD for 5 days
346
Surgery
 Potassium citrate 5 ml in 100 ml of water 3-4 times/day
 Calculi less than 5 mm can pass spontaneously and require no surgical intervention
Non pharmacological treatment
High fluid intake is advised with avoidance of lithogenic food and beverages
Surgical treatment
Kidney stones
 Percutaneus nephrolithotomy (PCNL)
 Extracorporeal shockwave lithotripsy (ESWL)
 Open pyelolithotomy
 Nephrolithotomy
Ureteric stones
 Endoscopic removal by uretero renoscopy, dormia basket, ureteric meaotomy or open
ureterolithotomy"
URINARY RETENTION,"treatment/procedure),
scarring of the bladder neck (commonly from removal of indwelling catheters or
cystoscopy operations) ordamage to the bladder
 In the prostate the causes may be BPH, prostate cancer and other pelvic malignancies,
prostatitis.
 In urethra- congenital urethral valves , phimosis or pinhole meatus, obstruction in the
urethra, for example a stricture (usually caused either by injury or STD), a metastasis or a
precipitated pseudo gout crystal in the urine
 STD lesions (gonorrhoea causes numerous strictures, leading to a ""rosary bead""
appearance, whereas chlamydia usually causes a single stricture)
 Inability to pass urine, thinning of urinary stream, dribbling of urine, pain in infraumbilical
region or palpable urinary bladder above pubic symphysis is seen.
Treatment
 Insertion of a low diameter (10 to 12 French) urinary catheter or
 Insertion of Infant Feeding Tube (IFT, 5 to 7 French diameter) or
 Suprapubic catheterisation (SPC)
347
Chapter 17"
COMMUNITY ACQUIRED PNEUMONIA,"treatment
Initial empirical antibiotic therapy may be useful in severe disease, co-morbid conditions like
chronic heart, lung or renal diseases, diabetes mellitus, malignancies and immune-
compromised conditions. The antibiotic can then be modified as per the response and sputum
culture. The choice of the empirical antibiotic,
Outpatients
 Previously healthy and no antibiotics in past 3 months
A macrolide [clarithromycin (500 mg orally BD) or azithromycin (500 mg orally once,
then 250 mg qd)] ordoxycycline (100 mg orally BD) for 7 to 14 days
 Co-morbidities or antibiotics in past 3 months: select an alternative from a different class
Co-morbidities like alcohol consumption, leucopenia, congestive heart failure, coronary
artery disease, diabetes mellitus, immune-compromised state and increasing age.
Fluoroquinolones [levofloxacin (750 mg orally OD) or moxifloxacin (400 mg orally OD)]
for 10 to 14 days or
beta-lactams [high-dose amoxicillin (1 g TDS) or amoxicillin/clavulanate (2 g TDS);
348
Respiratory Diseases
 Alternatives: ceftriaxone (1–2 g IV OD), cefpodoxime (200 mg orally BD), cefuroxime
(500 mg orally BD)] plus macrolide [clarithromycin (500 mg orally BD) or azithromycin
(500 mg orally once, then 250 mg OD)] for 10 to 14 days
Inpatients, Non-ICU
 A respiratory fluoroquinolone [levofloxacin (750 mg oral or IV OD), moxifloxacin (400
mg oral or IV OD)] for 10 to 14 days
 Alternatively beta-lactams [cefotaxime (1–2 g IV TDS), ceftriaxone (1–2 g IV OD),
ampicillin (1–2 g IV every 4–6 hourly), ertapenem (1 g IV OD in selected patients)] plus
macrolide [oral clarithromycin or azithromycin (as listed above for previously healthy
patients) or IV azithromycin (1gm once then 500 mg daily)] – parentally for 5 to 7 days
and then after orally for 10 days
Inpatients, ICU
 Beta-lactams [cefotaxime (1–2 g IV TDS), ceftriaxone (2 g IV OD), ampicillin-sulbactam
(2 g IV TDS)] for 5 to 7 days plus azithromycin or fluoroquinolone (as listed above for
inpatients, non-ICU) for 5 to 7 days and to continue after discharge oral medication for 10
days
Special concerns
 If Pseudomonas is a considered,
An antipseudomonal beta-lactam [piperacillin/tazobactam (4.5 g IV QID), cefepime (1–2
g IV BD), imipenem (500 mg IV QID), meropenem (1 g IV TDS)] plus either
ciprofloxacin (400 mg IV BD) or levofloxacin (750 mg IV OD) or aminoglycoside
[amikacin (15 mg/kg OD) or tobramycin (1.7 mg/kg OD)]
 If CA-MRSA (methicillin resistant Staphylococcus aureus) is a considered - Add
linezolid (600 mg IV BD) or vancomycin (1 g IV BD). Total duration in above situations
is 14 days including IV for 5 days and oral medication for remaining period.
Recommendations for use of steroids in CAP- They should be used in septic shock or
ARDS secondary to CAP.
Monitoring
- Antimicrobial therapy should be changed according to the specific pathogen(s)
isolated.
- Diagnostic/therapeutic interventions should be done for complications e.g.
thoracocentesis, chest tube drainage, etc as required.
- If a patient does not respond to treatment within 48-72 hours, he/she should be
evaluated for the cause of non-response including development of complications,
presence of atypical pathogens, drug resistance, etc.
- Non- invasive ventilation should be used in patients with CAP and acute respiratory
failure.
349
Respiratory Diseases"
HOSPITAL ACQUIRED PNEUMONIA,"management
should not be delayed in clinically unstable patients for purpose of performing diagnostic
sampling.
Pharmacological treatment
Risk factors for pneumonia: Age >60 years, male gender, smoking, alcohol intake,
underling disease, inspired O2 >0.50, renal failure/dialysis, chronic obstructive pulmonary
disease, airway instrumentation, aspiration before intubation, tracheostomy, mechanical
ventilation >2 days, coma, head trauma, continuous enteral feeding, prior antibiotics,
nosocomial maxillary sinusitis, repeat intensive care unit admission
Patients without riskfactors for MDR pathogens (Treatment duration is 10 to 14 days)
ceftriaxone (2 g IV OD) or moxifloxacin (400 mg IV OD), ciprofloxacin (400 mg IV TDS),
or levofloxacin (750 mg IV OD)or ampicillin/sulbactam (3 g IV QID)
Patients with riskfactors for MDR Pathogens (Treatment duration is 10 to 14 days)
350
Respiratory Diseases
1. Beta-lactams: ceftazidime (2 g IV TDS) or cefepime (2 g IV BD/TDS) or
piperacillin/tazobactam (4.5 g IV QID), imipenem (500 mg IV QID or 1 g IV TDS), or
meropenem (1 g IV TDS) plus
2. A second agent active against gram-negative bacteria pathogens: gentamicin or
tobramycin (7 mg/kg IV OD) or amikacin (20 mg/kg IV OD) or ciprofloxacin (400 mg IV
TDS) or levofloxacin (750 mg IV OD) plus
3. An agent active against gram-positive bacteria pathogens: linezolid (600 mg IV BD) or
vancomycin (15 mg/kg, up to 1 g IV, BD)"
BRONCHIAL ASTHMA,"treatment.
Salient features
 Precipitating allergens are dust, pollen, fish, nuts, strawberries, cold air, tobacco smoke,
viral and bacterial infections, exercise, emotional stress and drugs like NSAIDs, aspirin,
beta-blocker
 Classical symptoms include cough, breathlessness, chest tightness and wheezing. Signs
include tachypnoea, tachycardia, pulsus paradoxus, use of accessory muscles, silent chest
Diagnosis
 When asthma is suspected and other disorders have been ruled out (e.g. tumours in adults,
foreign body in children; don’t assume the presence of wheeze means asthma), confirm
the diagnosis with pulmonary function tests (PFTs).
 PFTs suffice as objective evidence of variable airflow obstruction:
A 12 % or greater improvement in forced expiratory volume (FEV1) in children and
adults, and > 200 ml in adults from the baseline 15 minutes after use of an inhaled
-
short-acting beta2 agonist.
Serial measures of peak expiratory flow (PEF): A > 20% change after administration
of a bronchodilator.
-
 When there is some probability of asthma and the above tests are non-diagnostic, the
following tests may be used to help diagnosis of asthma:
Methacholine challenge
Exercise challenge
-
Inhaled corticosteroid trial: appropriate doses of inhaled steroids for 4-6 weeks
-
Raised value of absolute eosinophil count (>6-8%)
-
Non pharmacological treatment
-
 Evaluate and assess impact and exposure to allergens and irritants in individual patients.
 Complete cessation of smoking and avoidance of environmental tobacco smoke is
strongly recommended.
 Lifestyle management-"
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,"treatment
 General Medical Care - Patients with COPD should receive the influenza vaccine
annually. Polyvalent pneumococcal vaccine is also recommended, although proof of
efficacyis not definitive.
 Pulmonary Rehabilitation-This refers to a treatment program that incorporates education
and cardiovascular conditioning. In COPD, pulmonary rehabilitation has been
demonstrated to improve health-related quality of life, dyspnea, and exercise capacity and
reduce rates of hospitalization over a 6-to 12-month period.
 Lung Volume Reduction Surgery (LVRS) offers both a mortality benefit and a
symptomatic benefit in certain patients with emphysema. Patients with upper lobe–
355
Respiratory Diseases
predominant emphysema and a low post rehabilitation exercise capacity are most likely to
benefit from LVRS.
 Lung Transplantation - COPD is currently the second leading indication for lung
transplantation Current recommendations are that candidates for lung transplantation
should be <65 years; have severe disability despite maximal medical therapy; and be free
of co-morbid conditions such as liver, renal, or cardiac disease.
Pharmacological treatment (Table 5)
 Bronchodilators- Used for symptomatic benefit in patients with COPD. The inhaled route
is preferred for medication delivery as the incidence of side effects is lower than that seen
with the use of parenteral medication delivery.
 Theophylline produces modest improvements in expiratory flow rates and vital capacity
and a slight improvement in arterial oxygen and carbon dioxide levels in patients with
moderate to severe COPD. Nausea is a common side effect; tachycardia and tremor have
also been reported. Monitoring of blood theophylline levels is typically required to
minimize toxicity.
 Supplemental oxygen is the only pharmacologic therapy demonstrated to unequivocally
decrease mortality rates in patients with COPD. Patients with resting hypoxemia (resting
O saturation 88% or <90% with signs of pulmonary hypertension or right heart failure)
2
require continual oxygen supplementation. Various delivery systems are available,
including portable systems that patients may carry to allow mobility outside the home.
Supplemental O are commonly prescribed for patients with exertional hypoxemia or
2
nocturnal hypoxemia.
 Glucocorticoids are not routinely recommended.
 Other agents that can be used as follows: N-acetyl cysteine 600 mg TDS for 10 to 14 days
Table 5. Commonly used drugs and dosages for pharmacotherapy of stable COPD
Drug category Recommended dose
Inhaled agents *
 Anti-cholinergics
-Short acting Ipratropium bromide 20-40 µg as needed
- Long acting Tiotropium 18 µg once daily
 Beta-agonists
-Short acting Salbutamol 100-200 µg as needed
Levosalbutamol 45-90 µg as needed
Terbutaline 250-500 µg as needed
- Long acting Salmeterol 25-50 µg twice daily
Formoterol 6-12 µg twice daily
Indaceterol 150-300 µg once daily
356
Respiratory Diseases
 Corticosteroids
-Fluticasone 25-500 µg twice daily
-Budesonide 100-400 µgtwice daily
-Beclomethasone 100-400 µg twice daily
-Ciclesonide 80-160 µg twice daily
-Mometasone 25-500 µg twice daily
Oral agents
 Beta-agonists
-Salbutamol 2-4 mg twice/thrice daily
-Bambuterol 10-20 mg once daily
-Terbutaline 2.5-5mg TDS
 Methylxanthines
-Sustained release theophylline 100-400 mg once daily
-Doxophylline 400 mg twice/thrice daily
* Recommended doses are those for a MDI. These drugs are also available in DPI and for
nebulizer use, for which doses may vary.
 Only three interventions—smoking cessation, oxygen therapy in chronically hypoxemic
patients, and lung volume reduction surgery in selected patients with emphysema—have
been demonstrated to influence the natural history of patients with COPD.
 All other therapies are directed at improving symptoms and decreasing the frequency and
severity of exacerbations. The institution of these therapies should involve an assessment
of symptoms, potential risks, costs, and benefits of therapy.
Acute exacerbation of COPD (Table 6)
 An exacerbation of COPD is an acute event characterized by a sustained worsening of
any of the patient’s respiratory symptoms (cough, sputum quantity and/or character,
dyspnea) that is beyond normal day-to-day variation and leads to a change in medication,
and where other causes of acute breathlessness have been clinically excluded.
Table 6. Severity assessment (indications for hospitalization) of exacerbation of COPD
Symptoms
 Marked reduction in activity of daily living due to dyspnea
 Altered sensorium
 New onset cyanosis
Signs
 Use of accessory respiratory muscles
 Paradoxical chest wall movements
 Central cyanosis
 Systolic blood pressure <90 mmHg
357
Respiratory Diseases
 RR >30/minute
 Heart rate >110/minute
 Asterixis
 Altered mental status
Others
 Presence ofsevere comorbid conditions
 Lack of social support
Pulse oximetry
 SpO <90%
2
* Presence of any of these qualifies a patient with need for admission. The ultimate decision
to admit depends on the overall clinical assessment of the physician
Treatment of acute exacerbations
Pharmacological treatment
Bronchodilators
Corticosteroids
-
Antibiotics: First line (Tab. amoxicillin 500-1000 mg TDS or Cap. doxycycline 100
-
mg BD or Tab. azithromycin 500 mg OD); Second line: Tab. amoxicillin/clavulanic
-
acid (625 mgTDS) or second-generation or third-generation cephalosporin (e.g. Tab.
cefixime 200 mg BD) All antibiotics need to be administered for 5-7 days except
azithromycin (three days)
Adjunct therapies
 Non-pharmacological treatment
-
Oxygen therapy
Ventilatorysupport (Noninvasive and invasive ventilation) (Table 7 and 8)
-
Table 7:Indications, protocol and parameters of failure of non invasive ventilation in
-
acute exacerbation of COPD
Indications
 Respiratory acidosis (arterial pH≤ 7.35 and/or PaCO 45 mmHg)
2
 Severe dyspnea
 Respiratory rate > 30 breaths/ min
 Use of accessory muscles of respiration
 Presence of paradoxical breathing
Protocol
 Full face mask better tolerated in the acute setting
 Start with an inspiratory pressure support of 6-8 cm H O and CPAP of3-4 cm H O
2 2
 Adjustments
358
Respiratory Diseases
- Increase inspiratory pressure and CPAP by 2 and 1 cm H O respectively
2
- Titrate to tidal volume (>5 ml/kg), respiratory rate (<35 breaths/minute) and blood
gases
- Maximum inspiratory pressure and CPAP generally used is 15-16 cm H O and 7-8
2
cm H O respectively
2
 Air leaks should be minimized
Parameters for failure of NIV
 Failure in improvement of clinical parameters and gas exchange at 1 hour
 Development of alteration in sensorium
 Hemodynamic instability
 Inability to tolerate oronasal mask
Table 8. Indications and protocol of invasive mechanical ventilation#
Indications
 pH≤7.25
 Unable to tolerate NIV/or NIV failure
 Respiratory or cardiac arrest
 Massive aspiration
 Diminished consciousness
 Failure to handle secretions
 Heart rate <50/minute with loss of alertness
 Hemodynamic instability without fluid responsiveness
 Severe ventricular arrhythmias
 Life threatening hypoxia
Protocol
Mode V-ACMV
Initial tidal volumes 4-6 ml/kg
Respiratory rate 8-12/min
PEEP 5-8 cm H O
2
I:E 1:3-1:6
Flow waveform Square waveform
Goals
Plateau pressure 30 cm H O
2
PaO 55-60 mm Hg
2
pH 7.2-7.4
#Modified from GOLD 2013
359
Respiratory Diseases
Criteria for hospital discharge (Modified from GOLD 2013)
 Able to use long acting bronchodilators. Inhaled short acting drugs no more than every 4
hours
 Patient if previously ambulatory-able to move across room, to eat and get adequate sleep
 Patient is clinically stable for at least 24 hours"
